Department,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Type
AAE,20300,1,PWL,3,Aeromechanics I,TR,03:00 pm-04:15 pm,55,61,-6,0,0,0,0,0,0,Carolin E Frueh (P),01/12-05/02,EE 117,Lecture
AAE,20400,2,PWL,3,Aeromechanics II,TR,09:00 am-10:15 am,77,81,-4,0,0,0,0,0,0,Wenbin Yu (P),01/12-05/02,SC 239,Lecture
AAE,20400,3,PWL,3,Aeromechanics II,MWF,08:30 am-09:20 am,65,80,-15,0,0,0,0,0,0,Sergii Kravchenko (P),01/12-05/02,PHYS 203,Lecture
AAE,25100,1,PWL,3,Introduction To Aerospace Design,TR,12:00 pm-01:15 pm,45,98,-53,0,0,0,0,0,0,Karen Marais (P),01/12-05/02,HIKS B848,Lecture
AAE,20401,1,PWL,1,Aeromechanics II Laboratory,T,01:30 pm-03:20 pm,16,15,1,0,0,0,0,0,0,"Nicolaus S Caniza (P), James Francis Doyle",01/12-05/02,ARMS 3106,Laboratory
AAE,20401,2,PWL,1,Aeromechanics II Laboratory,R,01:30 pm-03:20 pm,16,18,-2,0,0,0,0,0,0,"Sanel Horozovic (P), James Francis Doyle",01/12-05/02,ARMS 3106,Laboratory
AAE,20401,6,PWL,1,Aeromechanics II Laboratory,W,09:30 am-11:20 am,16,16,0,0,0,0,0,0,0,"Theodore W Sieffert (P), James Francis Doyle",01/12-05/02,ARMS 3106,Laboratory
AAE,20401,9,PWL,1,Aeromechanics II Laboratory,F,09:30 am-11:20 am,16,16,0,0,0,0,0,0,0,"Theodore W Sieffert (P), James Francis Doyle",01/12-05/02,ARMS 3106,Laboratory
AAE,20401,11,PWL,1,Aeromechanics II Laboratory,R,09:30 am-11:20 am,16,15,1,0,0,0,0,0,0,"Sanel Horozovic (P), James Francis Doyle",01/12-05/02,ARMS 3106,Laboratory
AAE,20401,12,PWL,1,Aeromechanics II Laboratory,W,11:30 am-01:20 pm,16,17,-1,0,0,0,0,0,0,"Georgios Georgalis (P), James Francis Doyle",01/12-05/02,ARMS 3106,Laboratory
AAE,20401,13,PWL,1,Aeromechanics II Laboratory,T,11:30 am-01:20 pm,16,13,3,0,0,0,0,0,0,"Abi Chandra Komanduru (P), James Francis Doyle",01/12-05/02,ARMS 3106,Laboratory
AAE,20401,14,PWL,1,Aeromechanics II Laboratory,W,01:30 pm-03:20 pm,16,16,0,0,0,0,0,0,0,"Abi Chandra Komanduru (P), James Francis Doyle",01/12-05/02,ARMS 3106,Laboratory
AAE,20401,15,PWL,1,Aeromechanics II Laboratory,F,11:30 am-01:20 pm,16,17,-1,0,0,0,0,0,0,"Georgios Georgalis (P), James Francis Doyle",01/12-05/02,ARMS 3106,Laboratory
AAE,20401,16,PWL,1,Aeromechanics II Laboratory,R,11:30 am-01:20 pm,16,14,2,0,0,0,0,0,0,"Nicolaus S Caniza (P), James Francis Doyle",01/12-05/02,ARMS 3106,Laboratory
AAE,30000,JR1,PWL,0,Undergraduate Junior Seminar,T,01:30 pm-02:20 pm,75,50,25,0,0,0,0,0,0,Taylor M Weast (P),01/12-04/19,PHYS 203,Lecture
AAE,30100,1,PWL,3,Signal Analysis For Aerospace Engineering,TR,10:30 am-11:45 am,65,62,3,0,0,0,0,0,0,Dengfeng Sun (P),01/12-05/02,ME 2061,Lecture
AAE,33300,1,PWL,3,Fluid Mechanics,MWF,09:30 am-10:20 am,50,54,-4,0,0,0,0,0,0,Alina Alexeenko (P),01/12-05/02,ME 1009,Lecture
AAE,33301,1,PWL,1,Fluid Mechanics Laboratory,T,11:30 am-01:20 pm,6,5,1,0,0,0,0,0,0,"Saad Tanvir (P), Sally Pm Bane",01/12-05/02,ARMS 3106,Laboratory
AAE,33301,2,PWL,1,Fluid Mechanics Laboratory,T,01:30 pm-03:20 pm,7,8,-1,0,0,0,0,0,0,"Ethan A Mcmillan (P), Sally Pm Bane",01/12-05/02,ARMS 3106,Laboratory
AAE,33301,3,PWL,1,Fluid Mechanics Laboratory,R,11:30 am-01:20 pm,7,4,3,0,0,0,0,0,0,"Saad Tanvir (P), Sally Pm Bane",01/12-05/02,ARMS 3106,Laboratory
AAE,33301,5,PWL,1,Fluid Mechanics Laboratory,T,03:30 pm-05:20 pm,7,8,-1,0,0,0,0,0,0,"Saverio Joseph Rotella (P), Sally Pm Bane",01/12-05/02,ARMS 3106,Laboratory
AAE,33301,6,PWL,1,Fluid Mechanics Laboratory,T,09:30 am-11:20 am,7,2,5,0,0,0,0,0,0,"William John O'Neill (P), Sally Pm Bane",01/12-05/02,ARMS 3106,Laboratory
AAE,33301,7,PWL,1,Fluid Mechanics Laboratory,R,01:30 pm-03:20 pm,7,9,-2,0,0,0,0,0,0,"Bhavini Singh (P), Sally Pm Bane",01/12-05/02,ARMS 3106,Laboratory
AAE,33301,8,PWL,1,Fluid Mechanics Laboratory,R,03:30 pm-05:20 pm,7,8,-1,0,0,0,0,0,0,"Prashanth Bangalore venkatesh (P), Sally Pm Bane",01/12-05/02,ARMS 3106,Laboratory
AAE,33301,9,PWL,0,Fluid Mechanics Laboratory,M,11:30 am-12:20 pm,48,44,4,0,0,0,0,0,0,Sally Pm Bane (P),01/12-05/02,RHPH 164,Laboratory Preparation
AAE,33400,1,PWL,3,Aerodynamics,MWF,02:30 pm-03:20 pm,125,106,19,0,0,0,0,0,0,John P Sullivan (P),01/12-05/02,ARMS 1010,Lecture
