Department,Crse,Title,Days,Time,Act,Instructor,Location,Type
AAE,20300,Aeromechanics I,TR,03:00 pm-04:15 pm,61,Carolin E Frueh (P),EE 117,Lecture
AAE,20400,Aeromechanics II,TR,09:00 am-10:15 am,81,Wenbin Yu (P),SC 239,Lecture
AAE,20400,Aeromechanics II,MWF,08:30 am-09:20 am,80,Sergii Kravchenko (P),PHYS 203,Lecture
AAE,25100,Introduction To Aerospace Design,TR,12:00 pm-01:15 pm,98,Karen Marais (P),HIKS B848,Lecture
AAE,20401,Aeromechanics II Laboratory,T,01:30 pm-03:20 pm,15,"Nicolaus S Caniza (P), James Francis Doyle",ARMS 3106,Laboratory
AAE,20401,Aeromechanics II Laboratory,R,01:30 pm-03:20 pm,18,"Sanel Horozovic (P), James Francis Doyle",ARMS 3106,Laboratory
AAE,20401,Aeromechanics II Laboratory,W,09:30 am-11:20 am,16,"Theodore W Sieffert (P), James Francis Doyle",ARMS 3106,Laboratory
AAE,20401,Aeromechanics II Laboratory,F,09:30 am-11:20 am,16,"Theodore W Sieffert (P), James Francis Doyle",ARMS 3106,Laboratory
AAE,20401,Aeromechanics II Laboratory,R,09:30 am-11:20 am,15,"Sanel Horozovic (P), James Francis Doyle",ARMS 3106,Laboratory
AAE,20401,Aeromechanics II Laboratory,W,11:30 am-01:20 pm,17,"Georgios Georgalis (P), James Francis Doyle",ARMS 3106,Laboratory
AAE,20401,Aeromechanics II Laboratory,T,11:30 am-01:20 pm,13,"Abi Chandra Komanduru (P), James Francis Doyle",ARMS 3106,Laboratory
AAE,20401,Aeromechanics II Laboratory,W,01:30 pm-03:20 pm,16,"Abi Chandra Komanduru (P), James Francis Doyle",ARMS 3106,Laboratory
AAE,20401,Aeromechanics II Laboratory,F,11:30 am-01:20 pm,17,"Georgios Georgalis (P), James Francis Doyle",ARMS 3106,Laboratory
AAE,20401,Aeromechanics II Laboratory,R,11:30 am-01:20 pm,14,"Nicolaus S Caniza (P), James Francis Doyle",ARMS 3106,Laboratory
AAE,30000,Undergraduate Junior Seminar,T,01:30 pm-02:20 pm,50,Taylor M Weast (P),PHYS 203,Lecture
AAE,30100,Signal Analysis For Aerospace Engineering,TR,10:30 am-11:45 am,62,Dengfeng Sun (P),ME 2061,Lecture
AAE,33300,Fluid Mechanics,MWF,09:30 am-10:20 am,54,Alina Alexeenko (P),ME 1009,Lecture
AAE,33301,Fluid Mechanics Laboratory,T,11:30 am-01:20 pm,5,"Saad Tanvir (P), Sally Pm Bane",ARMS 3106,Laboratory
AAE,33301,Fluid Mechanics Laboratory,T,01:30 pm-03:20 pm,8,"Ethan A Mcmillan (P), Sally Pm Bane",ARMS 3106,Laboratory
AAE,33301,Fluid Mechanics Laboratory,R,11:30 am-01:20 pm,4,"Saad Tanvir (P), Sally Pm Bane",ARMS 3106,Laboratory
AAE,33301,Fluid Mechanics Laboratory,T,03:30 pm-05:20 pm,8,"Saverio Joseph Rotella (P), Sally Pm Bane",ARMS 3106,Laboratory
AAE,33301,Fluid Mechanics Laboratory,T,09:30 am-11:20 am,2,"William John O'Neill (P), Sally Pm Bane",ARMS 3106,Laboratory
AAE,33301,Fluid Mechanics Laboratory,R,01:30 pm-03:20 pm,9,"Bhavini Singh (P), Sally Pm Bane",ARMS 3106,Laboratory
AAE,33301,Fluid Mechanics Laboratory,R,03:30 pm-05:20 pm,8,"Prashanth Bangalore venkatesh (P), Sally Pm Bane",ARMS 3106,Laboratory
AAE,33301,Fluid Mechanics Laboratory,M,11:30 am-12:20 pm,44,Sally Pm Bane (P),RHPH 164,Laboratory Preparation
AAE,33400,Aerodynamics,MWF,02:30 pm-03:20 pm,106,John P Sullivan (P),ARMS 1010,Lecture
AAE,33401,Aerodynamics Laboratory,T,11:30 am-01:20 pm,10,"William John O'Neill (P), Sally Pm Bane",ARMS 3098,Laboratory
AAE,33401,Aerodynamics Laboratory,R,11:30 am-01:20 pm,10,"Saad Tanvir (P), Sally Pm Bane",ARMS 3098,Laboratory
AAE,33401,Aerodynamics Laboratory,R,03:30 pm-05:20 pm,8,"Prashanth Bangalore venkatesh (P), Sally Pm Bane",ARMS 3098,Laboratory
AAE,33401,Aerodynamics Laboratory,T,03:30 pm-05:20 pm,8,"Saverio Joseph Rotella (P), Sally Pm Bane",ARMS 3098,Laboratory
AAE,33401,Aerodynamics Laboratory,R,07:30 am-09:20 am,3,"William John O'Neill (P), Sally Pm Bane",ARMS 3098,Laboratory
AAE,33401,Aerodynamics Laboratory,T,09:30 am-11:20 am,10,"William John O'Neill (P), Sally Pm Bane",ARMS 3098,Laboratory
AAE,33401,Aerodynamics Laboratory,R,01:30 pm-03:20 pm,10,"Bhavini Singh (P), Sally Pm Bane",ARMS 3098,Laboratory
AAE,33401,Aerodynamics Laboratory,R,09:30 am-11:20 am,9,"William John O'Neill (P), Sally Pm Bane",ARMS 3098,Laboratory
